lawid	source	lawvolume	lawpage	lawnumberchapter	lawtype	lawtitle	lawapproved	laweffective	lawsovereign	lawurl	lawdescriptiondone	lawnumberchaptertext	lawsession	lawsessiontype	lawpublished	lawissue
236	359	1846	419	350		Regulating election districts	1846-04-21				f					\N
237	359	1854	674	662		To authorize the Courts to alter Charters in certain cases	1854-05-08				f					\N
238	359	1889	174	194		Providing for appeals from decrees of courts of quarter sessions incorporating boroughs.	1889-05-09				f					\N
239	447	13	475	1498		A supplement to the act entitled "An Act for erecting the southwest part of the county of Cumberland into a new county	1790-03-17				f					\N
240	359	1849	103	92		To erect Millerstown, in the county of Perry, into a borough and election and school district	1849-02-12				f					\N
241	359	1855	291	306		To appoint commissioners to run and mark the county lines between Northampton, Monroe and Carbon	1855-04-23				f					\N
242	359	1972	184	62		Giving municipalities the right and power to adopt home rule charters or one of several optional plans of government and to exercise the powers and authority of local self-government subject to certain restrictions and limitations providing procedures for such adoption and defining the effect thereof	1972-04-13				f					\N
243	359	1850	1007	460		To erect Saegerstown, in the county of Crawford, into a borough, to be called and known by the name of the borough of Saegerstown	1849-04-10				f					\N
244	359	1859	473	466		Annexing the buildings of William Bratton to Beale township, in Juniata county	1859-04-11				f					\N
245	359	1845	358	238		Regulating the pay of auditors in Berks county, and for other purposes	1845-04-10				f					\N
246	359	1850	303	242		In relation to the districts of Richmond, Kensington and Penn, in the county of Philadelphia	1850-03-14				f					\N
247	359	1909	45	28		Validating annexations and extensions of the limits of boroughs and incorporated towns, notwithstanding a failure to comply with all the requirements of the acts of Assembly governing annexation and extension of borough or corporate town limits, in force at the time of said annexation; and providing for the filing of a plot or plan of the lots or parts so annexed, in the office of the clerk of the courts, when same has not originally been done	1909-03-18				f					\N
248	361	1840	708	10		Erecting the borough of Middletown, in the county of Dauphin, into a separate election district, and for other purposes	1840-03-18				f					\N
249	359	1860	697	598		Erecting parts of Clinton, Elk, M'Kean and Potter counties into a county, to be called Cameron	1860-03-29				f					\N
250	358	1816-1817	60	52		To incorporate the town of Newville, in the county of Cumberland	1817-02-26				f					\N
251	359	1870	1000	917		Relating to the extension of borough limits in Northumberland county	1870-04-06				f					\N
252	359	1874	230	152		Dividing the cities of this state into three classes, regulating the passage of ordinances, providing for contracts for supplies and work for said cities, authorizing the increase of indebtedness, and the creation of a sinking fund to redeem the same, defining and punishing certain offences in all of said cities, and providing for the incorporation and government of cities of the third class	1874-05-23				f					\N
253	359	1841	155	78		To incorporate the village of Clarion, in the county of Clarion, into a borough, and for other purposes	1841-04-06				f					\N
254	358	1821-1822	68	58		Incorporating the town of Lewisburg, Union county, into a borough	1822-03-21				f					\N
255	359	1927	18	7		To amend section one as amended and section two of an act approved the twenty-fifth day of June, one thousand eight hundred ninety-five (P. L. 275), entitled "An act dividing the cities of this State into three classes with respect to their population, and designating the mode of ascertaining and changing the classification thereof and in accordance therewith," classifying cities into four classes and providing for the government of second class cities A	1927-03-09				f					\N
256	359	1849	283	223		To incorporate the town of Rochester, in the county of Beaver, into a borough	1849-03-20				f					\N
257	358	1813-1814	201	116		Provisionally organizing the counties of Potter and McKean, and for other purposes	1814-03-26				f					\N
258	447	16	440	2123		To incorporate the town of Frankford, in the county of Philadelphia	1800-03-07				f					\N
259	359	1869	643	625		To extend the limits of the borough of Butler	1869-04-02				f					\N
260	359	1917	751	276		To amend section one of article three of an act, approved the twenty-seventh day of June, one thousand nine hundred and thirteen, entitled "An act providing for the incorporation, regulation, and government of cities of the third class; regulating nomination and election of municipal officers therein; and repealing, consolidating, and extending existing laws in relation thereto"	1917-07-06				f					\N
261	359	1871	892	802		To erect an independent school and road district from a part of North Lebanon township, in the county of Lebanon	1871-05-17				f					\N
262	448	17	334	2357		To authorize the several courts of quarter sessions within their respective counties, to lay off, alter and divide townships, and for other purposes	1803-03-24				f					\N
263	358	1817-1818	263	139		To annex part of Wayne township in Lycoming county, to Miles township in Centre county	1818-03-23				f					\N
264	358	1815-1816	6	9		To extend the boundaries of Columbia county	1816-01-22				f					\N
265	359	1848	87	80		To incorporate the town of Saint Mary's, in the county of Elk, into a borough	1848-03-03				f					\N
266	359	1861	370	342		To perfect the division of the township of Union, in the county of Fayette	1861-04-17				f					\N
267	359	1863	473	474		To incorporate the town of Bellevernon, partly in Fayette and partly in Westmoreland county, into a borough	1863-04-15				f					\N
268	359	1872	577	530		A supplement to an act, entitled "An Act to incorporate the borough of Columbia," approved the sixteenth day of April, Anno Domini one thousand eight hundred and sixty-six	1872-03-27				f					\N
269	359	1829-1830	4	4		Authorizing the citizens of the town of Henrysburg, in the county of Centre, to levy tax on real property, for the purpose of keeping in repair the pipes conveying the water to said town	1829-11-30				f					\N
270	359	1871	1072	964		To alter and define the northern boundary of the borough of Orwigsburg, in the county of Schuylkill	1871-05-23				f					\N
272	359	1866	30	36		To incorporate the city of Chester, in the county of Delaware.	1866-02-14				f					\N
273	359	1840	226	105		To incorporate the town of Edinboro, in the county of Erie, into a borough	1840-04-03				f					\N
274	358	1818-1819	102	72		To organize the provisional county of Warren for judicial purposes	1819-03-16				f					\N
275	359	1836-1837	125	63		Relating to the Borough of Uniontown, Fayette county, and for other purposes	1837-04-01				f					\N
276	447	15	424	1892		To erect the town of Huntingdon in the county of Huntingdon into a borough	1796-03-29				f					\N
277	359	1842	192	72		To appoint commissioners to re-survey and mark that portion of the county line, which divides the Township of Bristol, in the County of Philadelphia, from the Township of Cheltenham, in the County of Montgomery, and for other pu[r]poses	1842-03-25				f					\N
278	359	1826-1827	278	126		To incorporate the borough of Selinsgrove, in Union county, and the town of Berlin, in the county of Somerset	1827-04-13				f					\N
279	359	1859	328	327		Supplement to the act incorporating the borough of Apollo, Armstrong county	1859-03-31				f					\N
280	358	1813-1814	80	51		To erect the town of Bridgeport in the county of Fayette into a borough	1814-03-09				f					\N
281	359	1871	1556	1411		A further supplement to the act incorporating the city of Harrisburg, in the county of Dauphin, passed April ninth, one thousand eight hundred and sixty-nine	1871-01-02				f					\N
282	359	1869	313	282		To incorporate Union borough, in the county of Allegheny	1869-03-11				f					\N
283	359	1968	246	115		Amending the act of February 1, 1966 (P. L. 1656), entitled "An act concerning boroughs, and revising, amending, and consolidating the law relating to boroughs," further providing for the annexation of certain territory in a township which territory is contiguous to and owned by the borough and used for recreation or park purposes.	1968-06-24				f					\N
284	359	1828-1829	165	120		A Supplement to an act entitled "An act to annex part of Centre county to the county of Lycoming," passed the twenty-seventh day of March, eighteen hundred and nineteen	1829-04-16				f					\N
285	359	1847	114	81		Supplementary to the several acts of assembly incorporating the district of Penn, in the county of Philadelphia	1847-02-17				f					\N
286	359	1855	717	642		To incorporate the town of Palo Alto, in Schuylkill county, into a borough	1854-05-29				f					\N
287	359	1864	826	721		To annex a tract of land of Zerah B. Sheppard to the county of Butler	1864-05-05				f					\N
288	358	1811-1812	141	96		To annex part of Northumberland county, to the county of Mifflin	1812-03-20				f					\N
289	359	1846	64	55		Erecting parts of Huntingdon and Bedford counties into a new county, to be called Blair	1846-02-26				f					\N
290	359	1889	81	77		Relative to the boundary lines and boundary line monuments	1889-05-04				f					\N
291	359	1869	770	751		To extend the limits of the borough of Fallston, in the county of Beaver	1869-04-09				f					\N
292	359	1840	303	136		To incorporate the City of Allegheny	1840-04-13				f					\N
